acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,target_emotion
0.993,['Ted Weems & His Orchestra'],0.892,192053,0.305,0,23QMtSjvXmBTPjRc6JnD6b,0.0449,8,0.218,-11.157,1,Oh! If I Only Had You,0,01-07-1926,0.0666,112.112,0.875,1926,happy
0.128,['Special Ed'],0.862,235200,0.705,0,2XQIn9lQSAn6Ea3IG4XOh6,2.15E-05,1,0.193,-11.065,1,The Mission,30,01-04-1990,0.149,101.646,0.745,1990,happy
0.0388,['The Cats'],0.645,220893,0.653,0,2TUGqSnkaIQylLanv1UWBr,0.00229,4,0.179,-9.576,1,One Way Wind,54,01-01-1971,0.0249,108.867,0.723,1971,happy
0.0729,"['Devanand Sharma', 'Clinton', 'Dominique Cerejo']",0.867,309627,0.531,0,3jnBCraTtireW7Eh5kE8v1,0.000367,6,0.117,-13.791,1,Smiyai,33,08-04-1960,0.108,120.024,0.647,1960,happy
0.852,['Roza Eskenazi'],0.651,178493,0.361,0,0gouKhF3gpZFysj7tbv2iO,0.000218,2,0.321,-7.774,1,Giannaki,0,01-01-1940,0.0387,93.448,0.905,1940,happy
0.748,['Rolf Zuckowski'],0.714,233773,0.476,0,6xjAEOdbpFapvvLsItELgW,0,10,0.327,-6.518,1,Die Jahresuhr,46,25-04-1997,0.0349,74.907,0.809,1997,happy
0.00106,['Pierce The Veil'],0.655,209187,0.792,1,3Fnf4J72Y1ImGILcAh1Z2s,0,2,0.398,-3.766,1,Floral & Fading,55,13-05-2016,0.0257,99.989,0.781,2016,happy
0.678,['Seweryn Goszczyński'],0.719,100500,0.284,0,1RhbK6NO47hCsahIYH9oQM,0,1,0.197,-18.268,1,Chapter 1.17 - Zamek kaniowski,0,1928,0.942,122.465,0.857,1928,happy
0.535,['Lynyrd Skynyrd'],0.624,134800,0.741,0,4cV7R9NTRqL6equhYdehYL,1.05E-06,8,0.343,-8.311,1,Down South Jukin',40,01-01-1998,0.0485,131.382,0.916,1998,happy
0.193,['Fine Young Cannibals'],0.799,215773,0.687,0,4d6eqRtpDX7tydHJGDZUBQ,0.000188,2,0.0307,-5.682,1,She Drives Me Crazy,71,01-01-1988,0.0431,108.804,0.965,1988,happy
0.0686,['Brass Construction'],0.697,521427,0.923,0,1plCuPFkEbc05PB9np0q1P,0.809,9,0.0251,-3.914,0,Movin',39,01-01-1975,0.0921,121.508,0.87,1975,happy
0.308,['The Blue Nile'],0.716,297960,0.692,0,0TSZpll7qZUAQ86rEvgdq7,0.493,10,0.116,-7.146,1,Stay,38,30-04-1984,0.0258,130.32,0.961,1984,happy
0.91,['Tommy Dorsey'],0.691,316320,0.325,0,3v1Yk3CR1REqDl7tfMAIjV,0.889,7,0.074,-15.336,1,"Stop, Look and Listen",2,1935,0.141,164.159,0.854,1935,happy
0.463,['John Lennon'],0.496,274360,0.929,0,382oMDDcmsMXGqfiT9BbZF,0.00197,9,0.216,-8.567,1,New York City - Remastered 2010,29,12-06-1972,0.0375,142.344,0.941,1972,happy
0.0128,"['Giggles', 'Aldo Marin', 'Eddie Mercado']",0.803,369253,0.699,0,4zDwA8dHVVbCwrjDlUt6PJ,0.652,10,0.0722,-9.26,0,Love Letter (Club Version),26,24-12-1986,0.0536,115.23,0.853,1986,happy
0.461,['Captain Beefheart & His Magic Band'],0.587,147307,0.743,0,0GhdsifgVMNt7M2gTHQyA6,0,7,0.0904,-7.46,1,Yellow Brick Road,30,1967,0.037,99.136,0.811,1967,happy
0.535,"['Willie Colón', 'Héctor Lavoe']",0.772,211400,0.868,0,4rPtnAmfvHkVSCO2KKkiC1,0,0,0.17,-5.183,1,Ché Ché Colé,57,01-01-1972,0.0461,101.253,0.917,1972,happy
0.388,['Sly & The Family Stone'],0.616,175933,0.587,0,0xY1l2iECKzl7swYdUzCI9,0.000684,0,0.101,-11.297,0,Let Me Have It All,33,30-06-1973,0.0696,186.52,0.906,1973,happy
0.427,['John Lennon'],0.736,154600,0.653,0,4DOotseelwjpEy2ofZy3Pe,1.13E-05,9,0.447,-6.121,1,Dear Yoko,31,17-11-1980,0.0378,99.38,0.886,1980,happy
0.101,['Yesca'],0.719,224200,0.713,0,6frrTJ3gmnKF0INBlWalCv,0.883,9,0.148,-7.012,0,Lost Due to Incompetence (Theme for a Big Green Van),37,1978,0.0428,130.341,0.969,1978,happy
0.0422,['Iration'],0.768,234240,0.683,0,2CoGg71SqwNgriNkOLClae,4.77E-05,1,0.0854,-7.826,0,Wait And See,53,03-10-2008,0.0382,140.3,0.964,2008,happy
0.596,['La Arrolladora Banda El Limón De Rene Camacho'],0.449,141920,0.446,0,7xygLT3mUqdhdz80VfsN3f,1.18E-05,8,0.0635,-8.376,1,Lucio Vazquez,41,04-06-1998,0.0452,209.424,0.975,1998,happy
0.0639,['Playboi Carti'],0.776,165642,0.73,1,5MUxrNd7Gr2HksLcAlB0IO,0,5,0.113,-6.324,0,Yah Mean,65,14-04-2017,0.328,162.984,0.74,2017,happy
0.228,['Paul Simon'],0.658,212747,0.591,0,7oH43GUMu7wCKoFZMWhosG,0,7,0.196,-10.42,1,Loves Me Like a Rock,43,2007,0.0669,144.821,0.702,2007,happy
0.697,['Lorne Greene'],0.616,191480,0.674,0,2Z4LZyB208trJPNIqSvJM4,0,6,0.103,-9.115,1,Alamo,20,04-11-1964,0.436,117.088,0.789,1964,happy
0.822,['Shyam Kumar'],0.781,181573,0.515,0,7jHyBmUPC9gsCerwhrELK0,0.0443,8,0.126,-11.024,0,Bekhabar Jaag Zara,0,01-01-1944,0.0609,116.929,0.736,1944,happy
0.849,"['Sylvia de Grasse', 'Avelino Muñoz']",0.764,179357,0.57,0,5cTHgh5nfel9O2jxpjBMNZ,1.96E-05,5,0.315,-10.129,1,Hojita Del Guarumal,0,01-01-1935,0.348,106.014,0.695,1935,happy
0.844,['Moreira Da Silva'],0.646,183197,0.577,0,3c3muQyDJqoWFC5sqOUFXz,0,7,0.0846,-10.8,1,Arrasta a Sandália,2,14-06-1930,0.0706,109.315,0.884,1930,happy
0.125,['Breakwater'],0.646,255827,0.666,0,2J7xJcaxx8IuhAheIjDzdz,1.54E-05,1,0.062,-12.691,1,No Limit,31,1978,0.0465,109.175,0.73,1978,happy
0.417,['The Lumineers'],0.814,327733,0.634,0,15Q6UkZSwelcujItCEaidK,0.00364,4,0.14,-13.051,1,Big Parade,53,03-04-2012,0.0498,121.98,0.645,2012,happy
0.963,"['Chitalkar', 'Gandhari']",0.57,182840,0.325,0,03g6fvpO6l0deNy2AMxrb6,0.000714,1,0.383,-10.668,1,Aaj Basa Nain Mere Pyar Naya,0,31-12-1948,0.439,167.238,0.962,1948,happy
0.0484,['Aurra'],0.723,208237,0.948,0,0d3MNrePFGENAawn9UuMOo,3.33E-05,0,0.184,-4.785,1,A Little Love - Radio Edit,43,01-01-1982,0.0573,117.548,0.963,1982,happy
0.288,['Poolside'],0.782,368784,0.622,0,35U4PXL3W3XIkAjEUdhr36,0.53,2,0.58,-5.832,1,Harvest Moon,64,09-07-2012,0.0411,106.022,0.921,2012,happy
0.525,['John Prine'],0.645,172199,0.618,0,0Nck3KUmq9QujSjkp4jFUK,1.37E-06,7,0.13,-13.81,1,Forbidden Jimmy,22,20-02-1975,0.0492,91.672,0.949,1975,happy
0.927,['Raymond Scott'],0.548,161400,0.545,0,3hU6IyuOfpLvGxIEND5k85,0.878,1,0.116,-13.066,1,Twilight In Turkey,12,1937,0.061,155.924,0.806,1937,happy
0.761,['Little Joe And The Latinaires'],0.751,168308,0.336,0,5M19RoMIbfRI480RJB4Mto,0,10,0.253,-9.07,1,Amor Bonito,13,01-01-1965,0.0397,118.294,0.964,1965,happy
0.0262,['Depeche Mode'],0.696,227223,0.956,0,4QnqC2P3Jmzo8H6yI53L0Y,0.922,0,0.0528,-8.899,0,Shout - 2006 Remaster,21,02-11-1981,0.0509,119.364,0.853,1981,happy
0.446,['Bob Dylan'],0.541,166413,0.634,0,4M1su6qn7t5FnyMukpCGzK,0,9,0.0358,-7.612,1,"(Quinn the Eskimo) The Mighty Quinn - Live at the Isle of Wight, UK - August 1969",30,08-06-1970,0.0977,88.585,0.699,1970,happy
0.0051,['Baha Men'],0.782,177840,0.898,0,2EnwjJGoGX3K7RzDHyiyfA,0.00336,11,0.0633,-4.156,0,Best Years Of Our Lives,46,2002,0.0563,119.944,0.93,2002,happy
0.657,['B.B. King'],0.594,154013,0.619,0,62L9OK0YGhBaUk1eg9fx7w,3.00E-06,7,0.0742,-5.145,1,Quit My Baby,11,01-01-1960,0.0802,109.8,0.796,1960,happy
8.38E-05,['REO Speedwagon'],0.444,150627,0.88,0,6TNM0b8MRwwk39sz8g0iZ8,0.673,5,0.115,-9.243,1,Shakin' It Loose - Live Studio Demo - June/October 1980,22,1980,0.028,156.56,0.894,1980,happy
0.766,['Flatt & Scruggs'],0.635,140000,0.436,0,7uHhPVjW13WkaSqNVhtHpW,0,7,0.4,-10.445,1,I'm On My Way to Canaan's Land,22,1951,0.0247,100.757,0.794,1951,happy
0.588,['Mi Banda El Mexicano'],0.813,171549,0.875,0,4nkMHa8OAlBtSO1clxQqTm,1.53E-05,5,0.304,-4.39,1,Pelotero A La Bola,37,24-02-1993,0.0364,135.039,0.975,1993,happy
0.335,"['Glen Campbell', 'The Green River Boys']",0.689,125000,0.52,0,6P3QKwdtpynDJKu4nd5wbX,1.14E-05,7,0.199,-9.48,1,Truck Drivin' Man,12,1962,0.0331,119.716,0.749,1962,happy
0.0596,['Rod Stewart'],0.65,303533,0.712,0,6vezarXrEyu0zN5WjJqGfg,0.000683,0,0.0997,-12.011,0,Young Turks,52,1989,0.0355,160.729,0.759,1989,happy
0.0102,['Talking Heads'],0.618,233133,0.566,0,2Ts6CXoCmnFilpPKdaZz4i,0.00131,11,0.0387,-10.47,0,Stay up Late,28,10-07-1985,0.0435,110.977,0.928,1985,happy
0.0399,['Fleetwood Mac'],0.571,229840,0.801,0,7eSdKM2qWKVJArCvwxeqTx,0.0183,7,0.695,-7.227,0,"You Make Loving Fun - Live at Warner Brothers Studios in Burbank, CA 5/23/97",37,19-08-1997,0.0342,128.941,0.802,1997,happy
0.459,['Internacional Carro Show'],0.692,186467,0.633,0,6WEuqG6HGAx5HfCAUT1uY1,0,5,0.0789,-8.378,0,Amor Añejo,33,06-01-1995,0.0756,96.412,0.958,1995,happy
0.504,['Calibre 50'],0.711,193387,0.609,0,6CmFzaTvg7lRSAWwHmBDfj,0,10,0.139,-4.488,1,Amor Del Bueno,62,23-09-2016,0.0348,138.104,0.829,2016,happy
0.139,['Elvis Presley'],0.54,182947,0.937,0,32h5TIBiDv56zxf2HOIYjO,0.473,7,0.204,-10.339,1,T-R-O-U-B-L-E,29,07-05-1975,0.0405,177.409,0.877,1975,happy
0.682,['Nina Simone'],0.61,110987,0.571,0,71UfXGXPCyi0zMNeXoogdk,0,4,0.11,-5.858,1,Buck,30,1967,0.0533,176.879,0.834,1967,happy
0.557,['Rocío Dúrcal'],0.754,154067,0.444,0,6Sd9qLQdRgp5qrPZxkMwwy,0,4,0.377,-8.54,1,Que el Mundo Ruede,35,05-03-1983,0.0702,120.6,0.934,1983,happy
0.766,['Jimmy Reed'],0.736,158941,0.468,0,6vsgYtfPHXH6RRnRGMzcaK,0.000474,11,0.123,-13.359,0,Hush Hush,6,01-01-1960,0.0346,91.946,0.886,1960,happy
0.273,['Otis Redding'],0.809,178440,0.438,0,5XzTfiKtyoLOl9zpxvo2TB,0.0238,0,0.262,-9.176,1,Down in the Valley - 2008 Remaster,22,15-09-1965,0.0495,97.687,0.888,1965,happy
0.0563,['Danzel'],0.798,225853,0.917,0,3HEBH4eycANlb6xqAc8HE6,1.25E-05,11,0.927,-7.077,0,Pump It Up! - Radio Edit,44,20-07-2004,0.0602,129.027,0.864,2004,happy
0.252,['Orchestra Studio 7'],0.748,156813,0.501,0,25UjSqmp2X2pv9GHdr8vpA,0,5,0.123,-12.454,1,Comme facette mammeta - Instrument and base Version,0,13-11-1942,0.0353,126.519,0.895,1942,happy
0.273,['Stevie Wonder'],0.682,164000,0.563,0,34gtkqpcDsXCEf3arugjlB,2.03E-06,3,0.247,-10.903,1,Love A Go Go,12,01-05-1966,0.0324,126.036,0.97,1966,happy
0.809,['Marvin Gaye'],0.646,164960,0.462,0,1qZcepZC1sulgWKM1y9LYs,0,10,0.108,-9.887,1,You're A Wonderful One,30,1965,0.0317,84.471,0.831,1965,happy
0.694,['Led Zeppelin'],0.57,352533,0.578,0,5BaBVpQNHBk2ONZQlU8VXT,0.562,9,0.103,-13.778,0,The Hook (All My Love) - Rough Mix,26,15-08-1979,0.0284,92.706,0.722,1979,happy
0.362,['Willie Nelson'],0.516,211760,0.741,0,0yljBqwQl6U2fD4E8CIX87,0.0142,7,0.127,-7.499,1,Whiskey River - Live,33,1975,0.0327,99.748,0.761,1975,happy
0.00529,['A Tribe Called Quest'],0.879,158733,0.402,0,4R8XY2fcKNW4zNug9Y1WLJ,3.76E-06,1,0.0688,-7.632,1,Busta's Lament,38,29-09-1998,0.454,94.508,0.78,1998,happy
0.161,['Bob Marley & The Wailers'],0.901,198933,0.493,0,01HW8CqQdIeejpFOa8gi9j,0.000445,7,0.183,-9.287,1,Smile Jamaica - Single Version - 1976,29,30-04-1976,0.0603,111.385,0.661,1976,happy
0.585,['Zapp'],0.78,401533,0.798,0,2hIxI5hkYpUaOX7OB51Q2O,2.96E-05,0,0.258,-13.147,1,Playin' Kinda Ruff,24,14-07-1982,0.0537,111.093,0.672,1982,happy
0.422,['Los Tigres Del Norte'],0.826,181427,0.643,0,5EsTfNEOxbWZlv9DUvDuO7,8.82E-06,2,0.146,-5.223,1,Mi Sangre Prisionera,52,01-01-2009,0.0565,110.424,0.967,2009,happy
0.199,"['Grover Washington, Jr.']",0.666,549813,0.526,0,6RT3pGhkXKHjcCa3ZuY2cR,0.788,10,0.072,-10.704,0,Hydra,34,01-01-1975,0.0408,90.115,0.835,1975,happy
0.215,['Michael Jackson'],0.842,265067,0.529,0,1NeR1aXj5JBFYcDVvMqQpO,4.68E-06,10,0.0723,-6.48,1,Free,39,31-08-1987,0.0307,121.001,0.584,1987,happy
0.996,['Mihalis Kallergis'],0.472,190453,0.323,0,4uS6Q1boqakRWPojTY7jdY,0.452,10,0.129,-14.716,0,To Fili Den Ine Krima,0,01-01-1940,0.0766,166.032,0.955,1940,happy
0.555,['El Coyote Y Su Banda Tierra Santa'],0.699,136760,0.434,0,4NiNF2TgroCObAR1iYX1MR,3.48E-06,7,0.248,-9.4,1,Hablando Claro,41,01-01-2000,0.0325,104.956,0.977,2000,happy
0.59,['Chalino Sanchez'],0.647,205636,0.457,0,5HPNKShAEtHcnKAaFmtsmR,1.57E-06,3,0.058,-7.002,1,El Dos Dedos,48,07-08-1992,0.0275,97.436,0.756,1992,happy
0.0027,['The Offspring'],0.444,196373,0.772,0,5r5pPZLoablansl2iYPohk,0.000282,4,0.182,-7.705,1,Kick Him When He's Down,46,16-10-1992,0.0369,189.228,0.912,1992,happy
0.28,['Blondie'],0.809,282160,0.575,0,1jLRap9S6KxWpzlxBqYh17,0.122,11,0.411,-11.967,1,The Tide Is High,43,31-10-1981,0.0275,96.179,0.966,1981,happy
0.281,['Redman'],0.811,251480,0.747,1,7l3ZNXBVVdhBz13Vo0kbLz,0,6,0.138,-9.021,1,Pick It Up,45,01-01-1996,0.665,94.045,0.838,1996,happy
0.563,['The Kingston Trio'],0.697,181533,0.757,0,30HK1m0MWLX4MpPVeWf0Dn,1.79E-05,11,0.188,-10.06,1,Reuben James,21,09-10-1961,0.0298,106.249,0.926,1961,happy
0.284,['Dana Dane'],0.893,352547,0.564,1,6bPUIXPRpbfsYvOA8VRjty,0,10,0.125,-10.606,1,Nightmares,29,21-10-1987,0.23,95.467,0.804,1987,happy
0.0498,['Devendra Banhart'],0.833,185787,0.325,0,17XvbAd3K1GOjWy5uQvK2U,0.0674,1,0.15,-10.093,0,Baby,56,23-10-2009,0.0404,102.02,0.864,2009,happy
0.942,['Lead Belly'],0.647,82347,0.263,0,1hW1AlRMWxBoV25ZvO58DY,0.000686,3,0.103,-12.564,1,The Gray Goose,0,01-01-1951,0.0941,147.686,0.924,1951,happy
0.415,['Ricky Nelson'],0.718,114093,0.616,0,7JKVS0ESkVAIhLg9tF7crc,6.36E-06,8,0.0737,-11.894,1,One Of These Mornings - Remastered,17,01-01-1959,0.0269,98.326,0.964,1959,happy
0.177,['Morteza'],0.903,290933,0.834,0,2AFOe2wZ5TPD49VuBXqqex,0.000842,9,0.0447,-6.519,0,Baz Mano Kashti,37,17-09-1990,0.068,121.731,0.688,1990,happy
0.59,['Los Tucanes De Tijuana'],0.845,185187,0.621,0,33Kxt0fCaltxIuIOzM7hfs,0,9,0.0902,-4.381,1,Gripa Colombiana,53,14-11-2000,0.0325,97.962,0.965,2000,happy
0.694,['Johnny Cash'],0.746,159787,0.595,0,6x33Nb0FOPnKejhucST2NZ,0.665,4,0.092,-12.314,1,Wabash Cannonball,17,15-06-1966,0.0482,105.819,0.948,1966,happy
0.00104,['Green Day'],0.813,257213,0.547,0,6CVWD0WRqwbR4HsiKHk1j3,0.00335,2,0.0914,-5.936,1,Whatsername,56,21-09-2004,0.0344,119.998,0.8,2004,happy
0.152,['Del The Funky Homosapien'],0.864,242867,0.788,1,6O4zEx1kzm32mXlUIOthSw,0.000128,11,0.0799,-6.566,0,Corner Story,53,1998,0.299,87.941,0.896,1998,happy
0.368,['Los Tigrillos'],0.884,159101,0.534,0,6ts3Ku31YLvY5jSFDBGhOZ,0,5,0.0408,-8.681,1,Mi Pueblo Querido,34,1976,0.0446,109.333,0.947,1976,happy
0.106,['Steely Dan'],0.792,290160,0.606,0,3zOxyD52IxSZzqWsKzABOe,0.00357,11,0.0998,-9.133,0,FM,41,01-01-1985,0.0266,109.385,0.721,1985,happy
0.166,['Eric Weissberg'],0.403,126733,0.676,0,0A50I2qBaHHagOXdYlzUMi,0.983,5,0.363,-14.471,0,Pony Express,28,1973,0.0396,130.792,0.94,1973,happy
0.511,['Sérgio Mendes'],0.739,285067,0.842,0,5DVvqCP4cdVV21y9SOLW2o,8.07E-06,11,0.0807,-5.994,0,The Real Thing,30,01-01-1977,0.0702,116.26,0.939,1977,happy
0.694,['Pink Martini'],0.771,252653,0.458,0,30N6mzmZPQ0fUGW59krTc0,0.000137,7,0.0784,-7.652,1,Ou Est Ma Tete?,53,2009,0.0327,109.089,0.707,2009,happy
0.513,['Future'],0.794,167573,0.597,1,4iOq2DLxbRuBdrILZwOKoW,0.000934,7,0.117,-6.552,0,Lay Up,52,15-01-2015,0.228,143.08,0.58,2015,happy
0.79,"['Harold Arlen', 'E.Y. Harburg', 'Roger Edens']",0.866,36840,0.213,0,52Mdso1x4Km9KV2Hw853G5,3.30E-05,3,0.177,-22.712,1,Optimistic Voices - Rehearsal Demo,14,25-08-1939,0.658,116.712,0.931,1939,happy
0.0185,['Los Enanitos Verdes'],0.621,290064,0.706,0,2JlVEgNJwskpAGSudKPqLD,0,7,0.436,-11.262,1,Igual Que Ayer,54,01-01-1992,0.0283,137.145,0.88,1992,happy
0.582,['Los Lobos'],0.597,125493,0.619,0,6p0EdvigMBSE6TeOKUwdur,0.00115,2,0.0892,-13.586,1,La Guacamaya,27,1988,0.0331,111.519,0.961,1988,happy
0.434,['Banda El Recodo'],0.687,183253,0.518,0,0gbfhnyjkrOjOsEkeHh6Xq,0,10,0.047,-8.71,1,La Carga Sagrada,42,01-01-1997,0.0313,105.136,0.961,1997,happy
0.0463,['James Gang'],0.666,235293,0.948,0,5FfVwgKhGcehzx555DZFXj,0.808,2,0.0883,-7.581,1,Funk #49,36,12-03-1973,0.0647,91.577,0.842,1973,happy
0.0243,['Sir Mix-A-Lot'],0.979,257400,0.384,0,0sNoN6hL6G4SgveTuM5fWL,0.00174,11,0.179,-13.876,0,Beepers,26,01-01-1989,0.324,109.973,0.625,1989,happy
0.00716,['Tenille Townes'],0.6,195187,0.742,0,7IN4uBTZZK2KJ4tjBL44xU,0,6,0.363,-4.135,1,Holding Out for the One,70,07-02-2020,0.0379,85.008,0.796,2020,happy
0.82,['Bud Powell'],0.417,183148,0.53,0,6GzIxYLosb0IlS1bNtu0lO,0.484,7,0.201,-8.621,0,Bouncin' With Bud,25,01-01-1952,0.0392,167.953,0.894,1952,happy
0.0812,['REO Speedwagon'],0.465,168000,0.909,0,6DPVOPrPMxtUNlJ2VXXnFr,0,0,0.316,-6.013,1,Oh Woman,26,09-11-1973,0.0436,158.637,0.961,1973,happy
0.0283,['Gorillaz'],0.849,195400,0.536,0,7JzmCjvB6bk48JghLyrg8N,0.45,9,0.0659,-5.596,0,Last Living Souls,56,23-05-2005,0.0582,137.068,0.89,2005,happy
0.511,['Gilberto Gil'],0.734,266173,0.788,0,7uBFKnrL9HAoAp0aDCfvDE,0.0774,1,0.326,-7.361,0,Palco,49,1981,0.0462,108.325,0.779,1981,happy
0.0138,"['Dirty Heads', 'Matisyahu']",0.706,206334,0.775,0,64yn6T5miWO6E408RmBsd7,1.04E-06,1,0.151,-5.218,1,Dance All Night,59,19-06-2012,0.0468,81.04,0.882,2012,happy
0.0788,"['PSY', 'CL']",0.762,230635,0.87,0,4fAvxYyU2u4fAJ0dmUsKfw,0,6,0.137,-3.287,0,DADDY,61,01-12-2015,0.128,132.049,0.753,2015,happy
0.936,['Markos Vamvakaris'],0.766,189160,0.494,0,1aW0YiSQWfNc4uicLTLBXs,4.20E-05,6,0.345,-7.46,1,Efoumernam ena vradi,0,01-01-1930,0.0335,110.573,0.653,1930,happy
0.495,['Sam & Dave'],0.86,145867,0.397,0,1oQyH8ltNtDWhc1j4eRqdQ,0,3,0.17,-15.663,1,Ease Me,23,1966,0.0441,114.114,0.919,1966,happy
0.328,['Kid Cudi'],0.743,256227,0.498,1,36ltVroxdokt4IVqNh4EEO,0.00244,0,0.115,-6.443,1,ILLusions,52,16-12-2016,0.0356,96.001,0.792,2016,happy
0.971,['Tom Lehrer'],0.685,160347,0.32,0,2unupaTHW51YKYcKErmRlg,0,0,0.199,-12.789,1,It Makes A Fellow Proud To Be A Soldier,11,01-01-1959,0.397,125.949,0.869,1959,happy
0.14,['Mack 10'],0.853,259181,0.603,1,0Bbd5inN2znpGQkxZbqmmU,0,1,0.0783,-7.85,1,Backyard Boogie,54,01-01-1997,0.226,95.936,0.546,1997,happy
0.117,['A*Teens'],0.701,197387,0.922,0,3lfLAToNl2Ibcuo9U6UTSd,0.0126,9,0.321,-3.465,1,Upside Down,50,01-01-2001,0.034,122.018,0.933,2001,happy
0.000392,['The Shapeshifters'],0.739,205107,0.663,0,2o7V26rsF1ukcRI005S0LL,0.000694,5,0.136,-10.396,0,Lola's Theme - Radio Edit,43,07-09-2004,0.0458,123.928,0.736,2004,happy
0.0345,['Threat'],0.703,269160,0.731,1,4X8QP9DMRCSq1XYLK7kppb,1.27E-06,1,0.31,-7.897,1,Lettin' Niggas Know,36,11-04-1995,0.268,84.674,0.815,1995,happy
0.851,['The Chords'],0.667,144320,0.467,0,5TiUTAPurormiQX9gE0CAQ,0,5,0.272,-8.991,1,Sh-Boom - Single Version,52,30-10-2007,0.0499,136.676,0.905,2007,happy
0.683,['Clifford Brown'],0.646,236709,0.631,0,4VZUSe4Uy6OZEaqSmgFi7K,0.416,5,0.132,-8.048,0,Carvin' The Rock,6,01-01-1953,0.0357,116.548,0.879,1953,happy
0.149,"[""I'm Blue""]",0.807,221980,0.815,0,0nHQAxZgzAcKGRxAsOISTc,0,7,0.333,-5.684,0,Blue (Da Ba Dee),54,10-07-2012,0.0395,128.029,0.833,2012,happy
0.706,['Connie Francis'],0.702,153107,0.563,0,2sHi5xjxPKgObdvtHmYs2K,0,7,0.22,-9.085,1,Torero,13,01-01-1960,0.0493,123.358,0.858,1960,happy
0.592,['Rocío Dúrcal'],0.958,200827,0.384,0,5AlJyCPf8QE1P1YHNBLLYR,0.000297,8,0.12,-15.32,1,Tenías Que Ser Tan Cruel,45,1982,0.039,108.844,0.962,1982,happy
0.0448,['Fleetwood Mac'],0.675,274253,0.527,0,51LhklOVtu2KixJMzinIV0,2.65E-06,3,0.101,-9.501,1,Seven Wonders - Early Version; 2017 Remaster,56,13-04-1987,0.0263,113.881,0.66,1987,happy
0.388,['Mehmet Kemiksiz'],0.685,155063,0.698,0,0osXBirvQzPRfKSUDzHPCv,1.97E-06,4,0.0768,-8.184,0,Korkma Sönmez,0,1921,0.0421,133.951,0.723,1921,happy
